date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:58:18	45/45	---M-Z	200	added ('OK')	text/plain	date:Sun,%2014%20Jul%202024%2023:28:17%20GMT	https://pierrelouis.webflow.io/robots.txt		(from )
04:58:18	125282/125282	---M-Z	200	added ('OK')	text/html	date:Sun,%2014%20Jul%202024%2023:28:17%20GMT	https://pierrelouis.webflow.io/	D:/https___pierrelouis.webflow.io_/pierrelouis.webflow.io/index.html	(from )
04:58:20	71414/71414	---M-Z	200	added ('OK')	text/css	etag:%2263ff9a45e55e9d11b4e2ab50158df1f3%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/css/pierrelouis.227195c91.min.css	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/css/pierrelouis.227195c91.min.css	(from https://pierrelouis.webflow.io/)
04:58:20	583/583	---M--	200	added ('OK')	image/png	etag:%22e358b6f4074cc4898b707f8e65eb2fa5%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/62b42a8b458c54217312e5d7_favicon-32x32.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/62b42a8b458c54217312e5d7_favicon-32x32.png	(from https://pierrelouis.webflow.io/)
04:58:20	2813/2813	---M--	200	added ('OK')	image/png	etag:%2239337ee1d176661b6fbdda111394c58d%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/62b42a8e8d0ecc76ad607759_favicon-256x256.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/62b42a8e8d0ecc76ad607759_favicon-256x256.png	(from https://pierrelouis.webflow.io/)
04:58:21	4490/4490	---M--	200	added ('OK')	image/png	etag:%223bfde88af23cfa147410a7723f79c692%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/632c8d7e710706a7d835765a_device-dots.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/632c8d7e710706a7d835765a_device-dots.png	(from https://pierrelouis.webflow.io/)
04:58:22	126865/126865	---M--	200	added ('OK')	image/jpeg	etag:%22380cad6aa263576ec3ea8aea393a859c%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/6320e60ee6d124ee839c8ffe_618487de9301e40b017a5c85_texture-opti.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/6320e60ee6d124ee839c8ffe_618487de9301e40b017a5c85_texture-opti.jpg	(from https://pierrelouis.webflow.io/)
04:58:22	1329/1329	---M--	200	added ('OK')	image/png	etag:%22f34bfc6d785b5388ba2c76cc640fba5b%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/632d71d15867f648fad21525_bg-slider.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/632d71d15867f648fad21525_bg-slider.png	(from https://pierrelouis.webflow.io/)
04:58:23	1474/1474	---M--	200	added ('OK')	image/png	etag:%22238812267506d90ff4a00fff2664dac1%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/632c8d7ea1166b01587787ce_card-dots.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/632c8d7ea1166b01587787ce_card-dots.png	(from https://pierrelouis.webflow.io/)
04:58:23	7479/7479	---M--	200	added ('OK')	image/png	etag:%224e8787d4d5fa26f876e59cab8b2de649%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/6324450310e9dbdee6894d9a_small__frame-01.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/6324450310e9dbdee6894d9a_small__frame-01.png	(from https://pierrelouis.webflow.io/)
04:58:23	35910/35910	---M--	200	added ('OK')	image/jpeg	etag:%2281beef79e987a23b564c639c0312311c%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebc0c3f22391801b0eb_small__cos.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebc0c3f22391801b0eb_small__cos.jpg	(from https://pierrelouis.webflow.io/)
04:58:23	58638/58638	---M--	200	added ('OK')	image/jpeg	etag:%226f2a179c955bd4f3d7752366ed0dc9eb%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebe59df1080e14c9933_small__tiny-adventure.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebe59df1080e14c9933_small__tiny-adventure.jpg	(from https://pierrelouis.webflow.io/)
04:58:23	11781/11781	---M--	200	added ('OK')	image/png	etag:%22b571f48252d54e8ea9f7b10b1f252cf6%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebee4e3ad28be4154ce_small__pn-5000.png	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebee4e3ad28be4154ce_small__pn-5000.png	(from https://pierrelouis.webflow.io/)
04:58:24	39326/39326	---M--	200	added ('OK')	image/jpeg	etag:%223117fffd0c2e44e2bb400ddf387a9f37%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebc27235d3b5f2e0b87_small__kokoon-home.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebc27235d3b5f2e0b87_small__kokoon-home.jpg	(from https://pierrelouis.webflow.io/)
04:58:24	22874/22874	---M--	200	added ('OK')	image/jpeg	etag:%22de533bd9618302b7d3d4e8937a78e2eb%22	https://assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebe32e0b5bd1983e360_small__kokoon-section.jpg	D:/https___pierrelouis.webflow.io_/assets-global.website-files.com/61ba0d8d68d959d09b491aa4/63244ebe32e0b5bd1983e360_small__kokoon-section.jpg	(from https://pierrelouis.webflow.io/)
